rank,state,population,growth,percent_of_us
1,California,39776830,0.006074793433,0.1212588374
3,Florida,21312211,0.01562165228,0.06496983114
5,Pennsylvania,12823989,0.001440939181,0.03909366324
7,Ohio,11694664,0.003092564473,0.03565093951
9,North Carolina,10390149,0.01136233225,0.03167415272
40,Hawaii,1426393,-0.0008020802248,0.004348329338
42,Maine,1341582,0.004248050201,0.004089784772
46,South Dakota,877790,0.009341517318,0.002675924524
48,Alaska,738068,-0.002334430484,0.002249984918
51,Wyoming,573720,-0.009657958106,0.001748973465